id,title,url,curator,Notes/comments/questions,Map territory,Close to,logo image url,homepage image url,description,key concepts,methods,locations,start,end,main sector,sector 2,sector 3 ,main activity,activity 2 ,activity 3 ,size,learning resources,connections,key people,theory of change,,,,,status
reinventing-society,Reinventing Society,https://www.realutopien.de/ueber-uns/,Danielle; Catherine,"they call themselves ""realutopians""",Integral,,https://drive.google.com/file/d/1v6lfBUjzv6vVnPYHTidwpG7RNb6ueqQN/view?usp=sharing,https://drive.google.com/file/d/1c8szN_O_RQtiGI2E3KaM3cBrVUxbegiD/view?usp=drive_link,"""Reinventing Society is a non-profit and independent think tank founded in late 2020. Our mission is to accompany people into a regenerative society. To do this, we develop positive visions of the future , accompany change processes and impart future skills. We see our organization itself as a real-world laboratory in which new empirical knowledge is created.

Our team consists of economists and social scientists, sustainability and environmental researchers, experts from communication and media, psychology and politics.

Our perspective on social change is holistic and includes the three levels of individual, organization and society. With a systemic view, we make interactions visible and develop realistic solutions depending on the situation and overall context. We combine a playful attitude with professional expertise and human depth.

We are in a phase of great upheaval. Various crises lead to the end of old structures. We sense that something new wants to be created. Our work is dedicated to the creation of a new world, a world of beauty, regeneration, connection and vitality.""

https://www.realutopien.de/ueber-uns/
",,,Germany,2020,present ,Infrastructure & Resources,,,Research,"Design, Development & Innovation",,4-10,"Information Library for Real Utopias: https://realutopien.info/ . An engaging online resource containing a toolbox of concepts, methods, and inspiring visions related to imagining, designing, and realising utopias. ",,,,,,,,✅
rogers-foundation-for-person-centred-education,Rogers Foundation for Person-Centred Education,https://rogersalapitvany.hu/en/,Ola,"They organize and run educational, experiential activities, and research and development services",Alternative Education,Inner Development,https://drive.google.com/file/d/1Uaw_TxsOngAs882g2Fx2vJjj4TTQDqiG/view?usp=drive_link,https://drive.google.com/file/d/1eV32Q8D6eGg6l4bS8CpZV8JNHIPThlLr/view?usp=drive_link,"""Based on Carl R. Rogers’s thoughts, we believe that a person can understand and fulfil him or herself through live, personal experiences and in relationships of positive regard and real acceptance.

Our mission is to make people conscious about the importance of acceptance by experiencing it, and to provide places for real encounters, overcoming all obstacles.

For this purpose, we organize and run educational, experiential activities, and research and development services.""
https://rogersalapitvany.hu/en/about-us/our-mission/ ",,"Carl Rogers; drama pedagogy; art therapy, free play; game-based learning; emotional intelligence; systems thinking; human rights and equal opportunities; person-centred organizational development","Budapest, Hungary ",2017,present,Education & Learning,,,Education & Training,Research,,4-10,Extensive bibiliography of articles related to person-centred education: https://rogersalapitvany.hu/en/resources/  ,,"Suhajda Etelka Orsolya, Executive Director",,,,,,✅
school-of-system-change,School of System Change,https://schoolofsystemchange.org/ ,Trip,"I want to know their lineages of thought. Not super clear to me what practices they are borrowing from, and where they are innovating. This might be partially because I'm not deeply familiar with the nuanced lineages within ""systems thinking"".

I also don't immediately understand who their audience is. Is it social change activists? Corporate bodies aspiring for something new?",,,https://drive.google.com/file/d/1NnZcZRonsARZBn3UspBOiVsM2rB2RbM8/view?usp=drive_link,https://drive.google.com/file/d/1ceLzjG3JEe4F3lDYmxCBLgF52mf1Y82k/view?usp=drive_link,"In a world on the brink of collapse, changing so fast and yet in many ways not fast enough, we need broad and deep systems change. The School of System Change exists to nurture the work of leaders and changemakers who are embracing complexity and bringing about hopeful futures.

We create pathways from overwhelm to agency.

The School of System Change is unique in our multi-method approach to learning, recognising there is no one way to create change but a wealth of tools and frameworks to choose from. 

Discernment is a key capacity for our times.

Our inspiring contributors and talented facilitators from across the field of systems change share a passion for supporting people to navigate different ways of thinking, acting and being as we develop our collective capacity for transformation. Together, we contribute to evolving the field and practices of systems change.

https://schoolofsystemchange.org/the-school/who-we-are",,,UK; France; Germany; USA; New Zealand,2016,present ,Education & Learning,,,Education & Training,Consulting & Advisory,,4-10,"""What is systems change? An outcome and process"" by Anna Birney, CEO
https://medium.com/school-of-system-change/what-is-systems-change-an-outcome-and-process-f86126c8cb65#.pw1o42x3n

""Systems practices — what might these be?"" by Anna Birney, CEO
https://medium.com/school-of-system-change/systems-practices-what-might-these-be-ff998d6b15a3","Partners: On Purpose, drosos, idh, WWF, Greenpeace; Funding Partners: Forum for the Future, Lankelly Chase, GF, Johnson+Johnson Foundation, Cisco Foundation; Partner Networks: Illuminate, BMW Foundation, Bosch Alumni Netowrk, Catalyst 2030, The Hum","Anna Birney, CEO","""Learning is change.""

The ongoing process of learning through adapting to constantly evolving conditions inherently dismantles the domainant paradigm of imperialist, white-surpremacist, capitalist patriarchy.

This work is difficult and requires sustained cultures and structures for collective learning connected to the broader context.

We train people to build those cultures and structures.

https://schoolofsystemchange.org/the-school/our-approach-to-change",,,,,✅
scientific-and-medical-network,Scientific and Medical Network,https://scientificandmedical.net/,Elisa,2 - integrating science and spirituality; need for wisdom; new paradigm,wisdom,,https://drive.google.com/file/d/16-XHSqjSXz5SMWZK5ZL0IpSiEfNXWnNE/view?usp=drive_link,https://drive.google.com/file/d/1f9EEmIOW45pWzpk7lu79_KqixQ8cYmdl/view?usp=drive_link,"""For fifty years, the Scientific and Medical Network has been bringing together individuals – including professionals with a background in science, medicine, engineering, psychology, philosophy and complementary practices – who accept the existence of a fundamental, unifying and transcendent reality.

Given the current divisive and disconnected state of the world, we maintain that there is a pressing need for a worldview that goes beyond the prevailing materialist ethos and provides the rising generation with an orienting sense of meaning and purpose.

We thus feel it more important than ever to affirm our original transformative aim of promoting humanity’s spiritual essence as compatible with enlightened scientific thinking.

Through our extensive educational programme, featuring internationally renowned speakers and visionaries in their respective fields, we provide a creative forum for exploring frontier issues at the interfaces between science, spirituality, consciousness and well-being.

In a spirit of open and critical enquiry, we seek to integrate ‘heart’ and ‘head’ – connecting intuitive insights with evidence-based reason.""

https://scientificandmedical.net/",wisdom; religious and mystical traditions; new paradigm; inner-knowing; evidence-based science; spiritual practice; integrating science and spirituality; consciousness,,global,1973,present,Education & Learning,Spirituality & Religion,,Education & Training,Events & Retreats,Media & Publishing,,,,,,,,"""there is a pressing need for a worldview that goes beyond the prevailing materialist ethos and provides the rising generation with an orienting sense of meaning and purpose."" https://scientificandmedical.net/","""a new world view in which the wisdom in religious and mystical traditions complements and extends naturalist models proposed by the currently dominant paradigm in science, medicine and technology."" https://scientificandmedical.net/about-the-smn/",✅
simpol,Simpol,www.simpol.org,Elisa,9 - tries to solve collective action problems by coordinating political action on a global scale. Seems to work mostly from within the mainstream,Alternative Politics,,https://drive.google.com/file/d/1OZsG5CbgHVT1-h7_F9pQC8vm4UX3duaV/view?usp=drive_link,https://drive.google.com/file/d/1J-8pu31Y7O2ZeSFjHGxrwFq0DAK90s5C/view?usp=drive_link,"""What?

Simpol is an international association of citizens who use their votes in a new way to drive their politicians, parties, and eventually governments towards cooperation to solve the most pressing global issues of our time, such as climate change, fair corporate taxation, mass migration and so on.

How?

By joining Simpol, citizens in democratic countries give strong voting preference at all future national elections to politicians or parties that have pledged to implement Simpol's policies simultaneously alongside other governments. So, politicians or parties who sign Simpol's Pledge enhance their chances of getting our votes, while those that don’t risk losing out to those that do. As democratic governments are driven to sign the Pledge, non-democratic governments will not want to be left out. They need solutions to global problems too.""

https://uk.simpol.org/",collective action; global problems; simultaneous policies,,"London, UK; global",2000,present,Governance & Community,,,Advocacy & Activism,"Design, Development & Innovation",,4-10,,,,,Governments not implementing policies to solve global problems,"Destructive Global Competition, which makes countries that implement the right policies uncompetitive in the global economy",Using Simpol to develop policies and exerting pressure on governments to implement them. This is achieved through people voting for candidates and/or parties that support Simpol.,Solving global problems,✅
starter-culture,Starter Culture,https://starterculture.net/,Elisa,3 - tending to the threshold between inner and outer change (primacy of being); recognise the need for a paradigm shift; articulate a ToC; inspired by Bayo Akomolafe,,,https://drive.google.com/file/d/1rvy09aKFkHptIHFwSu219WCHxDyVyTY8/view?usp=drive_link,https://drive.google.com/file/d/1RY0XNBI1CLFRlgP_iZBXWxmVlPUp2yQa/view?usp=drive_link,"""We are a small emergent collective dedicated to supporting the inner-led change needed to challenge systemic injustice and support outer social and ecological change and deep cultural transformation. We do this by supporting people, groups and organisations to compost power-over culture from the inside-out.

It is palpable that the effectiveness of our outer actions depends on us engaging in inner practices that support us to expand our consciousness beyond right/wrong binaries - and the power-over culture and drama triangle consciousness this polarising mind-set perpetuates. Without changing our inner worlds our change-efforts simply replicate the power-over paradigm that created our current crises. It is the tending of this threshold between the inner and outer dimensions of change that Starter Culture is bringing to the conversation about systemic change."" 

https://starterculture.net/what-is-starter-culture/",,,"UK, Germany, US",2017,present,Relations & Peace,,,Education & Training,Advocacy & Activism,,1-3,,,,https://starterculture.net/our-approach-to-change/,,,,,✅
stop-ecocide,Stop Ecocide,https://www.stopecocide.earth/ ,Elisa,10 - fairly standard activist organisation; wouldn't fit very well on Matt's map except perhaps similar to XR,Critique of Power,,https://drive.google.com/file/d/1vgX63W49c8Ow7baw48X9HswvJRI_gaYV/view?usp=drive_link,https://drive.google.com/file/d/1oJ4I7S0NvlSodmdjmG7Xa2gYxHPqz3cj/view?usp=drive_link,"""'Ecocide' is a word to describe what is happening to our planet; the mass damage and destruction of the natural living world.  It literally means “killing one’s home”.   And right now, in most of the world, no-one is held responsible.  

It’s time to change the rules.  It’s time to protect our home.

We are working, together with a growing global network of lawyers, diplomats, and across all sectors of civil society, towards making ecocide an international crime.""

https://www.stopecocide.earth/",ecocide,,"Stroud, UK; Amsterdam, Netherlands; global",2017,present,"Environment, Food & Water",Justice & Restoration,,Advocacy & Activism,,,21-50,,,,,- climate and ecological emergency,- unlawful or reckless conduct causing ecocide (mass damage and destruction of nature),"- Legal recognition of ecocide serving as an incentive for information about damage to nature, climate and people is properly consulted",,✅
sunny-hill,Sunny Hill,https://soncnigrici-istra.eu/,Danielle,,Regenerative Alternatives,,https://drive.google.com/file/d/1sxnTVntjZ9qZNA7Z9WELvFg0CPKAISXm/view?usp=drive_link,https://drive.google.com/file/d/1RXOCJf-YTSbeKBMqjEOIpNEHXxpoePmo/view?usp=drive_link,"""Sunny Hills of Istria is a project that aims for the sustainable revitalization of the rural area of Slovene Istra.

Association Sunny Hill organises workshops, retreats, conferences and events immersed in pristine nature, away from the hustle and bustle of the cities but still, only half an hour away from tourist centres on the Slovene and Croatian Adriatic coast.

Cooperative Sunny Hills of Istria offers the venue. 200 years old traditional building where the events take place was fully renovated in 2016 and exhibits sustainable solutions such as compost toilets, reedbeds for wastewater treatment, clay plasters and more.

Cooperative and association are entangled in a vibrant community that hosts long and short-term volunteers who help with the household, maintenance, gardening and whatever is on the to-do list at a time.  Cooperative members, volunteers and long-term guests live and work together in luxurious simplicity following four guidelines: agreement of people, the harmony of space, the resonance of life, and joy of co-existence.

Luxurious simplicity is a concept of a simple lifestyle that doesn’t restrict us from the basic comfort of modern times.  We share tools and cars, we try to buy only necessary stuff, repair, upcycle and recycle whenever possible, buy bulk, produce our own food and cook together. We are trying to be conscious of how our actions affect the environment, other humans and other living beings.""

https://soncnigrici-istra.eu/about-us/","cooperation, sustainable development, collaboration, regenerative, luxurious simplicity",,"Gračišče, Istra",2012,present,Infrastructure & Resources,"Environment, Food & Water",,Community Spaces,Events & Retreats,,4-10,,,,,,,,,✅
systems-change-alliance,Systems Change Alliance,https://systemschangealliance.org/ ,Elisa,"8 - integrated systems change approach, looking at both inner (worldview) and outer (environment/society/economy); still an old world feel to it though",,,https://drive.google.com/file/d/1YEfQcCN4Vc2M-Ksk7tcdfNdR4CryheDP/view?usp=drive_link,https://drive.google.com/file/d/1wUou9K8GR3OTJYaqwcMlkTgmRDJzw48k/view?usp=drive_link,"""We bring people and organizations together to create integrated and long-term system change. 

We are a platform and a growing network of activist organizations, policy makers, businesses, and individuals, working on deep, regenerative systems change.""

https://systemschangealliance.org/

""Systems Change Alliance connects the dots between individuals, groups and organizations working in different fields to collaborate, educate, advocate and implement positive systemic change.""

https://systemschangealliance.org/what-we-do/",regenerative; systems change,,Not found,Not found,present,Economics & Business,"Environment, Food & Water",Governance & Community,Convening & Coordination,Media & Publishing,Events & Retreats,1-3,,,,,,,,,✅
tamera,Tamera,https://www.tamera.org/,Danielle,I just heard am anecdote about the children raised in this place and the positive outcomes of being surrounded by this type of community as one grows up,Intentional Community,,https://drive.google.com/file/d/1CjbyLbVblCT7miMrEVGE8nYzkB4suWOc/view?usp=drive_link,https://drive.google.com/file/d/1Pa9L8Hfk4YumGjr-rAsWS-EXx3MwqeoK/view?usp=drive_link,"""Started in 1978 with a small group, we’re currently a community of around 160, working towards autonomous decentralized models for a post-capitalist world, with those who share our vision of Terra Nova.
We believe in a future without war, in love without fear, and work to build Terra Nova by creating Healing Biotopes as centers to research and model a new planetary culture, with strong ethical foundations.""

https://www.tamera.org/about/","world beyond war, new planetary culture,cooperation, trust, regenerative, nonviolent, decentralized","reserach, education, outreach","Reliquais, Portugal",1978,present,Infrastructure & Resources,Relations & Peace,Education & Learning,Community Spaces,Education & Training,,101+,https://www.tamera.org/peace-education/,,,,,,,,✅
tellus-institute,Tellus Institute,https://www.tellus.org/,Elisa,5 - focuses on the Great Transition; inner and outer; fundamental shift in human values; however talks about sustainability rather than regeneration (and so might not be a perfect fit under Regenerative Alternatives),Regenerative Alternatives,,https://drive.google.com/file/d/1EoRJHpdK28IoyVYhKcKhPwLGpCuIxLKr/view?usp=drive_link,https://drive.google.com/file/d/1Id9C09c72Nd3IyM02zOuqtARFaG7JP9m/view?usp=drive_link,"""Tellus Institute strives to advance a planetary civilization rooted in justice, well-being, and sustainability. Our work addresses key dimensions of a transformative global praxis—understanding, vision, and action—by fostering scholarship, developing scenarios, and mobilizing networks for change. At this perilous juncture in human affairs, Tellus now more than ever joins engaged thinkers and thinking activists the world over in shaping a global transition, the great challenge of our time.""

https://tellus.org//",Great Transition; polycrisis; systems change; collective action; sustainability; planetary civilisation; values; interdisciplinary,,not found,1976,present,"Environment, Food & Water",Economics & Business,,Research,,,21-50,,,,,Risk of evolutionary drift and catastrophic decline ,"human values and the ways we produce, consume, and live ","A Great Transition - this depends on ""generating viable, attainable visions of another world, cultivating a sense of global citizenship, and engaging in collective action for systemic change""

https://tellus.org/about/the-institute/",advancing a just and sustainable planetary civilization,✅
terra-meera,Terra Meera,https://www.terrameera.com/,Danielle,,Regenerative Alternatives,,https://drive.google.com/file/d/1BDHCM9391SwJpW9Kk0xYyEB6nfia15OY/view?usp=drive_link,https://drive.google.com/file/d/1hf_lB0i2COYD_lgdJO9whaqVIPsLQ9MZ/view?usp=drive_link,"""Terra Meera is a newly founded Center for Regeneration and Human Potential, born in Croatia. Located in an abandoned valley, Terra Meera pioneers are laying the foundations for a community project dedicated to local and regenerative agriculture in the area.

This campaign will plant a biodiverse and native fruit forest, revitalise the Terra Meera land, support the local economy and create a source of food and educational opportunities for local and international communities.""

https://www.terrameera.com/","regeneration;
human potential;
local focus;
art;
leadership",,Croatia,2020,present,"Environment, Food & Water",Arts & Culture,Health & Wellbeing,Community Spaces,Events & Retreats,,4-10,https://www.terrameera.com/food-for-thought,https://www.terrameera.com/collabs-network,Irena Ateljevic-Foundress,,,,,,✅
"the-hague-center-for-global-governance,-innovation,-and-emergence","The Hague Center for Global Governance, Innovation, and Emergence",https://www.thehaguecenter.org/,Elisa,3,Integral,Wisdom,https://drive.google.com/file/d/1cw45DvYHgSqJllRdmuGefbNMbcnCJ23a/view?usp=drive_link,https://drive.google.com/file/d/1-mStPi6zjDgKwQvk9OoZe9NMG81V3CpN/view?usp=drive_link,"""We are an organ’isation and a co-creative collective, serving the emergence of a conscious, harmonic humanity. We innovate for heart-centered, planetary governance with all domains of life, visible and invisible. We listen to spirit, lead from the heart and activate the mind for the purpose of co-creating a new world.[...]

We consult, coach and partner with individuals and organizations who want to learn, grow and co-create together. THC fosters networks and people who desire to take up leadership in their projects. We bring them together as the foundation of a Meshwork with a shared intention and the willingness to serve a larger purpose.""

https://www.thehaguecenter.org/",,,Netherlands,Not found,present,Relations & Peace,Governance & Community,,Consulting & Advisory,Research,Education & Training,11-20,,,,,,,,,✅
the-murmuration-project,The Murmuration Project,https://www.murmurationproject.com/,Danielle,"very similar mapping project, I am very interested to read their report",Wisdom,,https://drive.google.com/file/d/1FnXU7z60NlhHPEAAr9hR5xmLqn4t5qf5/view?usp=drive_link,https://drive.google.com/file/d/1dwIFUT_ozdYTlQdrnkjDjAyf_wx0Ll3a/view?usp=drive_link,"""The Murmuration Project is a research initiative that is helping organisations and networks understand how they can develop more effective leadership skills and strategies and work collaboratively to inspire and influence greater change.  

The project is mapping the field through a creative inquiry with hundreds of leaders of organisations and networks expanding human consciousness.  The intelligence revealed from this inquiry will aim to identify the most important challenges and opportunities and will be shared to help inspire individual and collective action. ""

https://www.murmurationproject.com/","expanding human consciousness;
systematic change;
mapping the field",action reserach and inquiry,United Kingdom,2019,present,Education & Learning,,,Research,,,1-3,https://static1.squarespace.com/static/5d5fd21b5af49b0001034e05/t/61ee7aa5e05d8d4b38e9b136/1643018945637/Murmuration+Project+Synthesis+Report+%28Print%29+.pdf,,Liz Murphy and Jennifer Morgan - Co-founders,,,,,,✅
the-systems-sanctuary,The Systems Sanctuary,https://systemsanctuary.com/,Lauren,"2 founders and 3 associates listed on website. Female led, and women focused/feminist perspective. 6x Reports available here - https://systemsanctuary.com/research

Website lists a Sangha (paid membership group), courses, field building and research.

Not certain on start date",,,https://drive.google.com/file/d/12NvErDsxG1YEVJIBmNCarfpjdtMUnsup/view?usp=drive_link ,https://drive.google.com/file/d/12WXmfVdYm8tGPGkEMf62qnUW_sI4He8R/view?usp=drive_link ,"""Refuge for Systems Leaders.
We teach and train leaders on systems change. We work with individuals, teams and ecosystems to support learning and inform wise action.

We are a support system for leaders working to transform unhealthy systems.

We support you to lead your with more clarity, confidence and less stress. We help you work strategically through the unique challenges that face systems leaders, bringing decades of our experience at leading systems change work ourselves.

Working with us feels connected, compassionate and strategic. We embed a power and justice analysis in all the work we do and we listen, champion and care deeply about the people we work with.""
https://systemsanctuary.com/ 

""We partner with organizations, networks and ecosystems to create intimate, inspiring and well structured peer-learning Cohorts that build trust, systems practice capacity and generate new ideas for systemic change.

We teach a mixture of systems practice tools and frameworks and facilitate peer learning that emerges collective strategy.

We can create a bespoke Cohort or series of Cohorts for your Team, Cohort, Network, Ecosystem or Grantees.""
https://systemsanctuary.com/courses-training-organisations   ",,,"Offices in St Louis, USA and Montreal, Canada. 

With ties to the UK, USA and Canada, work internationally.",2017,present,Education & Learning,Governance & Community,,Education & Training,Research,,1-3,https://systemsanctuary.com/research,,Rachel Sinha & Tatiana Fraser,,,,,,✅
the-weaving-lab,The Weaving Lab,https://weavinglab.org/,Lauren,"My sense is this is more on the perihpery of 2R, but potentially useful as a place to direct people who are interested in networking. Although I don't find their website particularly strong if you dive deeper into it",,,https://drive.google.com/file/d/1KTYuGyEjxdMdUEDwI-F0-Pv-LARAW1ju/view?usp=drive_link ,https://drive.google.com/file/d/13ZY2DWlmI5TPKNx5CRY95FJ3OOutC4Uz/view?usp=drive_link ,"""We are a Network of Individuals and Collectives weaving Systemic Change and supporting each other in this Journey. Weaving entails raising awareness of our interdependence with each other and the rest of nature; fostering purposeful and synergistic collaborations; as well as developing learning cultures for teams and communities. We see weaving as an essential process for systemic change."" https://weavinglab.org/ 

""Our story is a collective journey of weavers across the globe coming together for the shared purpose of advancing the field of weaving. The Weaving Lab was launched in 2018 and our community has since grown to 300+ members from around the world. We are community builders, network conveners, social innovators and change-makers who want to experiment and learn how to become better."" weavers.https://weavinglab.org/community-of-weaving-lab/   

""We focus on co-creating thriving networks and communities that enhance the wellbeing of self, society and nature. We cultivate spaces and projects for learning, connection and innovation that develop meaningful relationships between people, ideas, teams, projects, organizations, networks, places and nature."" https://weavinglab.org/what-is-weaving/ ",,,"Amsterdam, Netherlands",2018,present,Education & Learning,Governance & Community,,Convening & Coordination,,,11-20,,,,,,,,,✅
the-week,The Week,https://www.theweek.ooo/,Catherine,"4. Inspired by Theory U. They talk briefly about the need for ""a new story"" https://www.theweek.ooo/what-we-believe. Frederic Laloux and Helene Gerin (his partner) are co-founders. ",,,https://drive.google.com/file/d/1J8WEZRa6g4h1kYwR6i8wcPyrQtaHW43b/view?usp=drive_link,https://drive.google.com/file/d/1gBQY1a8LWK09EooCEbAkdusoZbaEfgED/view?usp=drive_link,"""The environment is breaking down and the climate is changing rapidly. The Week is a group experience to help us see what’s coming and what we can do about it.""
https://www.theweek.ooo/ 

""The Week is a nonprofit project run by a group of colleagues and friends who, each in our own way, came to see that facing environmental and climate breakdown is likely to become the defining adventure for humanity in the next 10 or 20  years.

Our kids will ask us: what did you know and what did you do? Figuring out our answer to this question is perhaps one of the most important things we are all invited to do. That’s why we created The Week: to open up a space where everyone can explore this question and come up with their own answers.""
https://www.theweek.ooo/about-us 

""What is the Week?
You get together 3 times, during a week (hence “The Week”). Every time you watch a 1 hour documentary film episode. And then the heart of the experience:  a guided conversation for 30 minutes (or more if you want) to make sense of it all.""
https://www.theweek.ooo/  ",,,USA; UK; France; Germany,2022,present,"Environment, Food & Water",,,Media & Publishing,Community Spaces,Education & Training,4-10,,,"Hélène Gérin, Co-founder; Frédéric Laloux, Co-founder",See their principles and values here: https://www.theweek.ooo/what-we-believe,,,,,✅
thoughtbox-education,ThoughtBox Education,https://thoughtboxeducation.com/,Elisa,7,,,https://drive.google.com/file/d/1C3M1iWkSPzKkUpZ94nip9wEwBYyqqJ3C/view?usp=drive_link,https://drive.google.com/file/d/1O-4KiNQNqdG5hiH8ugVyEKFkpFsOwriA/view?usp=drive_link,"""ThoughtBox is a community of educators and systems-thinkers, helping us learn how to care for ourselves, each other and the planet. We are leading thinkers in education regeneration, working with schools to support a healthier culture of learning through leadership training, curriculum and practitioner-programmes - all centred around a Triple WellBeing approach.""

https://www.linkedin.com/company/thoughtbox-education",,,"Totnes, UK",2015,present,Education & Learning,Relations & Peace,,Education & Training,Media & Publishing,,4-10,,,,,,,,,✅
together-life,Together Life,https://www.togethermovement.world/,Elisa,8 - unclear whether still operating; they have big ideas but not much concrete evidence of achievement on the website,Regenerative Alternatives,,https://drive.google.com/file/d/1-ziHUHyWfzEERe14qyckg42B0A5cHOBm/view?usp=drive_link,https://drive.google.com/file/d/1iP-z0u8XtvnvzI5ju2uENgPNIq6PN3mZ/view?usp=drive_link,"""The Together organization was established out of the understanding that there are millions of organizations and people around the world working to create a change for the better. However, we understand that in order to create a significant change, we need to unite and operate together, rather than each operate independently.

Together Movement, as its name implies – is a home that connects and provides a platform for all these organizations and people, to be able to work together for the purpose of creating the longed-for change. [...]

The organization operates simultaneously in two areas:

A. Consciousness – Creating individual change and expansion of consciousness,  leading to a new balanced and healthy state of consciousness, both to the individual and the collective.

B. Systems – Creating new systems that work for the people in the main areas of life. This includes Economy, Health, Education, Media & Communication, Lands and communities, Sustainability and more.""

https://togethermovement.world/en/about/",systems change; new consciousness; new economy,,Israel,not found,2021,Health & Wellbeing,Economics & Business,Media & Communications,Convening & Coordination,,,11-20,,,,,"There are many organisations seeking long-term systems change, but change is not forthcoming",The problem is organisations working individually to create change rather than together,Coordinating activities among organisations,,✅
transformation-hosts-international,Transformation Hosts International,https://hostingtransformation.eu/,Ola,Website is hosted on wordpress and a lot of Lorem ipsum litter the website. makes me ask if they are still functional or maybe a lot of attention isn't paid to the website. Last blog update was 2 years ago.,Inner Development,,https://drive.google.com/file/d/14DqzRnYh3qyC846JmOnmUeisoFlNBovo/view?usp=drive_link,https://drive.google.com/file/d/1GhRze00BC5-Of-Z32L943s_3yj3L_Tlw/view?usp=drive_link,"""Technically…
… the Transformation Hosts International (THI) is a community of practice for Transformative Learning and for hosting the socio-ecological transition. THI articulates this new paradigm of learning, develops and implements new tools for addressing this paradigm, and brings together the practitioners who have the power and skills to host this transformation. We do not have a legal body – yet.

Not so technically…
… just imagine a bunch of facilitators, hosts, teachers and coaches. They spend enough meaningful time together, that this community changes their work, their practice. Hence by definition they are one: A community of practice.
As they are all experienced communicators conflicts seldom arise and are solved quickly. Not everybody knows everybody but knowing each other very often leads to dear and long lasting friendships. As it is an international community of practice they travel a lot to keep the connections strong and healthy, but certainly video conferencing is important, too. They are passionate about their work and the world, so they come up with project ideas that enable them to do what they are best at: Hosting Transformation. They choose with whom and where they want to work and what the topic is – and they can make a living out of this. They write funding proposals together, win and lose together, and celebrate a lot. They share their findings and wisdom with the world and get lots of gratitude back.""
https://hostingtransformation.eu/community-of-practice/ ",,,Europe,2012,present,Education & Learning,,,Education & Training,Convening & Coordination,,21-50,"Free online toolbox of methods for Hosting Transformation: 
https://hostingtransformation.eu/methods-toolbox/ ","1. Art Monastery
2. Neurodiversity Foundation
3. Rogers Foundation
4. Biovilla
5. Trekstones
6. Legacy 17
7. Visionautik Akademie
8. Plenum
9. Sendzimir Foundation
10. Yip
11. Embercombe
12. Isoropia
13. Impuls
14. Pioneers of Change
15. Project Peace
16. SoL
17. Edventure
18. Knowmads
19. Ecolise
20. Ulex
21. Transition Romania
22. Gaia Education
23. Global Ecovillage Network - GEN
24. Hrvatska Permakultura
25. Institute for Global Integral Competences - IfGIC
26. International Permaculture Education Network - IPEN
27. Cultivate - sustainable Ireland
28. Permaculture Association UK
29. COPERNICUS Alliance",,,,,,,✅
transformations-community,Transformations Community,https://www.transformationscommunity.org/,Elisa,"6 - seeking transformation for sustainable / regenerative futures; recognise importance of inner capacities and practice; intersection of knowledge/action, research/practice",Regenerative Alternatives,,https://drive.google.com/file/d/10OB3W8IyM0T9HFjBxIr3VNt2RjlWBWyw/view?usp=drive_link,https://drive.google.com/file/d/1SZZojJc4FilgV1FxjU-LXBmu4zU5DEY3/view?usp=drive_link,"""We are a global community of action-oriented researchers and reflective practitioners who support transformations to a sustainable and regenerative future. We do more than theorize change — we are developing new leadership practices, institutional arrangements and participatory techniques to bring desirable transformations to life.""

https://www.transformationscommunity.org/who-we-are

""Our Mission

To increase people’s capacity to transform social-ecological systems to achieve desirable futures that are sustainable, regenerative, just, and equitable by rapidly co-creating and amplifying knowledge, capacities, learning and action.""

https://www.transformationscommunity.org/our-mission",regenerative futures; sustainability; transformation; co-creation; knowledge systems; practice,,"Boulder, Colorado, USA",2013,present,"Environment, Food & Water",,,Events & Retreats,Media & Publishing,,4-10,,,,,transforming social-ecological systems to achieve a sustainable and regenerative future,Deficit at the level of individual capacities for bringing about transformation,"a community of research and practice for ""developing new leadership practices, institutional arrangements and participatory techniques to bring desirable transformations to life"" 

https://www.transformationscommunity.org/who-we-are",,✅
